Countries,Drug Addicts,People of a Different Race,Heavy Drinkers,Immigrants / Foreign Workers,People Who Have AIDS,Homosexuals,Unmaried Couples Living Together,People Who Speak A Different Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,84.20,19.80,78.80,28.00,46.20,58.10,65.80,18.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,66.00,1.00,37.00,2.80,5.70,11.00,0.40,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,96.20,31.80,92.10,18.40,76.90,92.70,33.10,16.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,93.80,5.00,69.90,10.50,15.30,13.40,1.80,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,95.60,58.10,85.30,40.60,94.40,94.40,58.20,26.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,95.30,23.10,87.70,33.40,60.90,72.10,6.90,17.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,80.20,1.90,38.90,2.60,6.90,11.10,1.10,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,74.10,5.60,61.80,7.60,17.90,25.70,3.90,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,96.50,10.50,71.10,12.20,73.20,52.70,17.00,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,75.90,3.20,53.40,4.70,23.10,34.60,4.10,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,64.60,24.80,64.10,35.50,31.70,34.90,14.50,14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,54.10,34.50,48.80,34.60,34.60,38.80,32.00,34.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,86.90,25.40,79.00,37.50,48.60,47.30,13.50,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,90.20,32.10,77.90,32.80,68.40,86.60,26.50,20.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,66.30,14.80,70.20,21.40,24.00,22.40,9.30,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,78.40,19.90,67.20,20.20,40.20,79.70,27.70,21.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,63.00,6.30,30.40,1.50,1.90,74.00,0.80,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,75.90,18.80,69.30,21.10,44.80,33.50,17.50,16.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,93.60,25.60,90.00,47.10,61.50,65.00,72.70,32.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,91.90,27.70,86.40,39.00,80.20,80.30,72.80,27.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0.00,22.30,0.00,36.30,0.00,0.00,21.40,19.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,80.30,27.20,72.30,37.20,68.00,62.00,59.90,27.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,93.10,11.20,86.00,27.80,60.00,73.60,11.90,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,84.40,28.10,69.40,37.20,66.40,0.00,0.00,28.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,89.80,28.10,79.70,30.70,72.90,77.00,47.70,25.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,72.80,36.30,54.60,40.40,54.90,58.50,43.70,32.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,85.70,55.10,82.70,59.00,69.90,76.50,82.00,39.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,73.80,31.30,68.50,59.70,59.50,58.70,52.30,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,69.50,10.20,50.10,11.60,16.20,23.20,10.50,14.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,82.90,13.80,77.20,10.80,47.10,85.50,65.80,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,92.30,8.20,84.60,19.60,9.70,6.90,0.60,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,85.40,2.90,72.90,5.90,16.80,14.70,1.90,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
